Learning Rate,N_Trees,AUC,Tempo (s)
0.01,88,0.9876160990712074,0.1872267723083496
0.03,65,0.987874097007224,0.13814210891723633
0.05,15,0.9881320949432405,0.07849001884460449
0.07,15,0.9871001031991744,0.07461404800415039
0.1,100,0.9922600619195047,0.12556147575378418
